59566300104,0.034,116.398491,39.889585,116.39851,39.889277
59566300105,0.007,116.39851,39.889277,116.398514,39.889211
59566300106,0.141,116.418884,39.890361,116.418934,39.889092
59566300107,0.161,116.419041,39.890355,116.419087,39.888903
59566300108,0.139,116.398514,39.889211,116.398579,39.88796
59566300109,0.219,116.419087,39.888903,116.419651,39.886993
59566300111,0.188,116.419651,39.886993,116.420464,39.885419
59566300112,0.155,116.421032,39.880211,116.421104,39.878812
59566300113,0.19,116.420879,39.880325,116.420956,39.878616
59566300114,0.16,116.421104,39.878812,116.421173,39.87737
59566300115,0.092,116.421288,39.875013,116.421253,39.875837
59566300116,0.056,116.400372,39.865847,116.40036,39.866351
59566300117,0.079,116.400658,39.859673,116.400623,39.860382
59566300118,0.013,116.417988,39.91052,116.418011,39.910408
59566300120,0.23,116.432221,39.90843,116.43491,39.908463
59566300121,0.049,116.443424,39.893626,116.442848,39.893636
59566300122,0.048,116.445053,39.893603,116.444489,39.893608
59566300123,0.091,116.444489,39.893608,116.443424,39.893626
59566300124,0.123,116.41169,39.903699,116.411697,39.902593
59566300125,0.034,116.419651,39.886993,116.419373,39.887207
59566300126,0.17,116.421173,39.87737,116.421253,39.875837
59566300128,0.097,116.42551,39.873322,116.425392,39.872449
59566300129,0.3,116.456234,39.86126,116.452831,39.861252
59566300130,0.306,116.456394,39.861387,116.456341,39.864085
59566300131,0.162,116.448879,39.859113,116.450592,39.859736
59566300132,0.111,116.448879,39.859113,116.447632,39.858831
59566300133,0.177,116.46106,39.889381,116.461029,39.887787
59566300134,0.013,116.438728,39.859192,116.43858,39.859197
59566300135,0.032,116.410427,39.857295,116.410797,39.8573
59566300136,0.013,116.410275,39.8573,116.410427,39.857295
59566300137,0.114,116.408871,39.856847,116.410202,39.85685
59566300138,0.05,116.435619,39.91217,116.435516,39.911725
59566300139,0.136,116.434998,39.908206,116.436592,39.908231
59566300140,0.136,116.434944,39.908892,116.436535,39.908897
59566300141,0.437,116.432823,39.900719,116.437565,39.899801
59566300142,0.114,116.445087,39.875293,116.445454,39.876284
59566300143,0.3,116.421349,39.870679,116.419869,39.871193
59566300144,0.324,116.42297,39.871366,116.421475,39.870687
59566300147,0.079,116.39008,39.87115,116.390999,39.871193
59566300148,0.012,116.422157,39.85773,116.422295,39.85775
59566300149,0.075,116.435196,39.900533,116.43607,39.900485
59566300150,0.202,116.411079,39.871948,116.413445,39.871895
59566300151,0.101,116.421394,39.869619,116.421352,39.870527
59566300152,0.1,116.421482,39.870522,116.421532,39.869619
59566300153,0.017,116.421352,39.870527,116.421349,39.870679
59566300154,0.018,116.421475,39.870687,116.421482,39.870522
59566300155,0.378,116.388176,39.907303,116.383762,39.907168
59566300156,0.323,116.38802,39.900271,116.391792,39.900373
59566300157,0.122,116.462185,39.910693,116.462154,39.911792
59566300158,0.059,116.462105,39.908966,116.461418,39.908979
59566300159,0.02,116.461716,39.901945,116.461494,39.901945
59566300160,0.047,116.461716,39.894305,116.461201,39.894305
59566300161,0.09,116.461151,39.89252,116.461136,39.891714
59566300162,0.05,116.461697,39.892515,116.461151,39.89252
59566300163,0.086,116.461002,39.885826,116.460995,39.885048
59566300164,0.049,116.461563,39.885043,116.460995,39.885048
59566300166,0.047,116.461514,39.883703,116.460987,39.883708
59566300167,0.044,116.461277,39.870491,116.46077,39.870519
59566300168,0.12,116.452904,39.861143,116.454205,39.861374
59566300169,0.045,116.452904,39.861143,116.452599,39.861471
59566300170,0.051,116.414909,39.856865,116.414906,39.857325
